score,timestamp,url,username,env_id
474.25 ± 21.17,2016-05-27 18:24:54.484955,https://gym.openai.com/evaluations/eval_137s4ui9TvyaZzjoTWc9A,PuZZleDucK,Qbert-v0
351.00 ± 21.11,2017-04-06 17:24:07.437304,https://gym.openai.com/evaluations/eval_uqQwhx4RSGOa5WYoqPkiA,1nadequacy,Qbert-v0
187.25 ± 17.71,2016-05-21 07:27:58.429615,https://gym.openai.com/evaluations/eval_0hWCro7CTrCudDfItwfMNw,PuZZleDucK,Qbert-v0
178.25 ± 16.25,2016-04-24 22:37:19.836523,https://gym.openai.com/evaluations/eval_h7xZ66AxT6WBIIVbEJB6fQ,gdb,Qbert-v0
-172.47 ± 32.71,2016-04-24 22:37:46.516832,https://gym.openai.com/evaluations/eval_3IIu9LpmTGiqQQyjZb0mbQ,gdb,Pitfall-v0
N/A,2016-12-26 22:48:40.920588,https://gym.openai.com/evaluations/eval_6XyixODLSKeGAQ3gAEOX9g,DollarAkshay,BipedalWalkerHardcore-v2
N/A,2016-12-12 15:35:28.323436,https://gym.openai.com/evaluations/eval_qaM0iTJSST2DDd5Br0HE6A,ryogrid,BipedalWalkerHardcore-v2
-1.00 ± 0.00,2016-04-24 22:37:53.634939,https://gym.openai.com/evaluations/eval_4hNanao8SIGtvddOSYwU9w,gdb,Go9x9-v0
0.0,2017-04-18 06:29:48.906843,https://gym.openai.com/evaluations/eval_gUhDnmlbTKG1qW0jS6HSg,Ashioto,MountainCarContinuous-v0
0.0,2016-12-30 20:31:03.917453,https://gym.openai.com/evaluations/eval_Mrq3OPBQEazp98e0yrg,JunhongXu,MountainCarContinuous-v0
1.0,2017-04-18 07:43:27.149144,https://gym.openai.com/evaluations/eval_EYB8SSdGQuu76SvDXVvoA,Ashioto,MountainCarContinuous-v0
566.0,2016-09-29 17:50:59.306319,https://gym.openai.com/evaluations/eval_2LraMcedRXjdZbRbQuJdQ,jimfleming,MountainCarContinuous-v0
945.0,2016-09-29 04:10:19.864494,https://gym.openai.com/evaluations/eval_6YldJUHRqic5x2d8Hs0zw,jimfleming,MountainCarContinuous-v0
-130.48 ± 8.74,2017-05-19 22:04:43.937775,https://gym.openai.com/evaluations/eval_IYSGK6TyTCSfs1bCsm9UPA,Anjum48,SemisuperPendulumNoise-v0
-254.39 ± 21.71,2016-06-27 01:41:54.268459,https://gym.openai.com/evaluations/eval_5zaj9smbRMijmS9FUgST4w,RafaelCosman,SemisuperPendulumNoise-v0
-284.59 ± 17.02,2016-06-27 01:41:41.675531,https://gym.openai.com/evaluations/eval_a8Bg1AEeS3C7lKvI3i4KGg,RafaelCosman,SemisuperPendulumNoise-v0
-377.08 ± 27.92,2016-06-27 01:41:13.297510,https://gym.openai.com/evaluations/eval_VDOXscq6TzuJPXWqUfQE6Q,RafaelCosman,SemisuperPendulumNoise-v0
-1398.34 ± 46.03,2016-06-27 01:42:06.765466,https://gym.openai.com/evaluations/eval_njexCJdfQ9GmhGO1pTkIQ,RafaelCosman,SemisuperPendulumNoise-v0
28679.0,2017-07-27 00:50:28.834571,https://gym.openai.com/evaluations/eval_Isf8lUxQRyETpsG1y6BPA,pat-coady,Reacher-v1
31605.0,2017-07-25 04:42:31.147466,https://gym.openai.com/evaluations/eval_tpWNYeqoTnCKimIXPkZ57A,pat-coady,Reacher-v1
N/A,2016-05-24 18:57:45.099636,https://gym.openai.com/evaluations/eval_6kY02G5DSpekMBmAeRLVyA,korymath,Reacher-v1
N/A,2016-05-03 06:36:21.653205,https://gym.openai.com/evaluations/eval_KPxEwjtZQkKXQGYml4uyAw,joschu,Reacher-v1
N/A,2016-05-03 04:52:41.268990,https://gym.openai.com/evaluations/eval_ZgnQFpSMRli10LkWTxcQIw,joschu,Reacher-v1
20.96 ± 0.02,2017-07-26 00:30:36.436139,https://gym.openai.com/evaluations/eval_gquejvZS4m7pKYXCPbW3A,dgriff777,Pong-v0
20.95 ± 0.03,2017-06-03 17:06:32.884925,https://gym.openai.com/evaluations/eval_J7PMQ9zhSPipSGZPwdR21w,kkweon,Pong-v0
20.87 ± 0.04,2017-05-16 12:35:12.797531,https://gym.openai.com/evaluations/eval_qZsD1qHORqCZWg7wPpmb0w,dgriff777,Pong-v0
20.74 ± 0.07,2017-05-28 05:38:56.454150,https://gym.openai.com/evaluations/eval_UBDv2LGlSU2zspcwGoZA,ppwwyyxx,Pong-v0
19.75 ± 0.18,2017-06-26 07:09:16.598522,https://gym.openai.com/evaluations/eval_JW6mrei1TNONf1fnq6Sp8w,sangmin082,Pong-v0
18.95 ± 0.16,2017-03-12 00:00:04.594598,https://gym.openai.com/evaluations/eval_QY42ItKTkWz4BelZ69fpQ,andreimuntean,Pong-v0
17.50 ± 0.27,2017-03-10 14:12:53.187915,https://gym.openai.com/evaluations/eval_Ju1iHdmzSUi2KiEtJpIyGQ,Shmuma,Pong-v0
14.94 ± 0.34,2017-05-21 21:39:18.034586,https://gym.openai.com/evaluations/eval_Zxwzn6lBTl2uEhDUpyY1rg,kkweon,Pong-v0
11.92 ± 0.55,2017-06-08 07:10:23.511784,https://gym.openai.com/evaluations/eval_cHg3eaS5qJJmr0ST8lTw,sangmin082,Pong-v0
9.93 ± 0.51,2017-03-10 08:54:39.117490,https://gym.openai.com/evaluations/eval_87CKhQcUSqGaKwujXOLRw,Shmuma,Pong-v0
-1.43 ± 0.73,2017-01-10 05:25:14.539311,https://gym.openai.com/evaluations/eval_u9THKYuWTAKXG55SQoESJg,vdpappu,Pong-v0
-16.41 ± 0.32,2017-06-06 17:00:57.679365,https://gym.openai.com/evaluations/eval_TVNlHQtSYOZJMGL1KHwXA,sangmin082,Pong-v0
-20.08 ± 0.11,2017-04-27 14:11:26.938576,https://gym.openai.com/evaluations/eval_hxQDTQAwTFe3YLwN3oENag,vhpvmx,Pong-v0
N/A,2017-03-03 03:11:35.845935,https://gym.openai.com/evaluations/eval_hn9nmcS7QMCrmSBusrX7lg,leiz05,Pong-v0
611.74 ± 4.07,2017-06-13 06:32:27.416851,https://gym.openai.com/evaluations/eval_aOyighJARniF59QQ1lN5Cw,steveKapturowski,Enduro-v0
541.56 ± 6.97,2017-06-09 04:01:10.426595,https://gym.openai.com/evaluations/eval_aTC5idh6Rhsg5NjAAuA,steveKapturowski,Enduro-v0
478.39 ± 6.55,2017-03-30 19:57:09.829332,https://gym.openai.com/evaluations/eval_z4OnfqZbSQq4YkLPtmN6rg,xinshuoweng,Enduro-v0
476.62 ± 6.47,2017-05-27 06:39:48.238474,https://gym.openai.com/evaluations/eval_B8PhAT0RfWNXP6piJBdw,steveKapturowski,Enduro-v0
467.91 ± 7.11,2017-03-30 05:05:24.433110,https://gym.openai.com/evaluations/eval_Erhi7IhuRSiIhOtKUCQkGA,xinshuoweng,Enduro-v0
451.67 ± 6.45,2017-03-30 19:42:05.247311,https://gym.openai.com/evaluations/eval_ZXPYTOIzRBaffSqqYJFbqQ,xinshuoweng,Enduro-v0
448.91 ± 6.36,2017-03-30 05:10:56.402432,https://gym.openai.com/evaluations/eval_DIIXPXQ9TqSnAkGsTFJnbA,xinshuoweng,Enduro-v0
336.53 ± 10.10,2017-03-30 19:00:49.167453,https://gym.openai.com/evaluations/eval_xr3Dwnl4Q6W8Q4JZVXs5YA,xinshuoweng,Enduro-v0
328.24 ± 13.11,2017-03-30 04:23:12.017372,https://gym.openai.com/evaluations/eval_4nH8WHphS0OfSWHrejJWpQ,xinshuoweng,Enduro-v0
324.97 ± 10.19,2017-03-30 04:46:34.119695,https://gym.openai.com/evaluations/eval_P1Lmg7fSduRIRPfVTgJOw,xinshuoweng,Enduro-v0
155.15 ± 4.56,2017-03-30 03:24:10.635248,https://gym.openai.com/evaluations/eval_jyvE10sZTFCOLebgLNPOEg,xinshuoweng,Enduro-v0
142.58 ± 3.55,2017-03-30 03:13:07.759391,https://gym.openai.com/evaluations/eval_XjnYq9s5TxWo6LvWA1bnBA,xinshuoweng,Enduro-v0
1.54 ± 0.30,2017-03-30 03:02:53.777393,https://gym.openai.com/evaluations/eval_v4yTNAoRTuSx3pcrHt4w,xinshuoweng,Enduro-v0
0.03 ± 0.02,2017-03-30 03:13:32.946604,https://gym.openai.com/evaluations/eval_AbPEdr2eQNc4qd8YIZq2g,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 03:21:13.453711,https://gym.openai.com/evaluations/eval_1vsA7TeXQbi7B74tgjAgPA,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 03:20:12.031661,https://gym.openai.com/evaluations/eval_D1QjR2TcS5Sm159J1BcGCQ,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 03:15:18.990052,https://gym.openai.com/evaluations/eval_a5MoFvaTwC6wjdiG1I7Qw,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 03:03:16.993103,https://gym.openai.com/evaluations/eval_RRve3XMWSJehX0EOMTyrkw,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 02:18:26.544309,https://gym.openai.com/evaluations/eval_CP8mo4lOTgey14wk2aCu8A,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 02:17:42.885357,https://gym.openai.com/evaluations/eval_RlkyscxVSiy57wy48oTA,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 02:16:47.764423,https://gym.openai.com/evaluations/eval_3mrQYTIbQwKwqgGr1bLnQ,xinshuoweng,Enduro-v0
0.00 ± 0.00,2017-03-30 02:16:06.708928,https://gym.openai.com/evaluations/eval_INxR6TwClyqs24vmAA,xinshuoweng,Enduro-v0
0.00 ± 0.00,2016-04-24 22:38:21.096369,https://gym.openai.com/evaluations/eval_okQOtBFR7ytsXZTDfPGyQ,gdb,Enduro-v0
N/A,2016-05-01 07:50:35.340521,https://gym.openai.com/evaluations/eval_gCyORevkTo2XZSHkkeGTjQ,gdisneyleugers,Enduro-v0
130.48 ± 8.14,2017-08-01 23:51:06.610571,https://gym.openai.com/evaluations/eval_4JRHBfF4RaqC2gmrNXs7UQ,tkgw,Breakout-ram-v0
30.44 ± 1.22,2017-05-26 05:09:32.429477,https://gym.openai.com/evaluations/eval_tLiZx6dSwaX5YcVD4lrVg,tkgw,Breakout-ram-v0
25.05 ± 0.67,2016-04-24 22:38:36.022714,https://gym.openai.com/evaluations/eval_kvG4k1IMRlKMHkN6n6a03w,gdb,Bowling-v0
6031.00 ± 368.43,2016-08-22 18:24:29.081197,https://gym.openai.com/evaluations/eval_tYVKyh7wQieRIKgEvVaCuw,ppwwyyxx,ChopperCommand-v0
905.00 ± 36.86,2016-04-24 22:37:45.032977,https://gym.openai.com/evaluations/eval_kFBn8EWCQJqU9ROkE6Qq6Q,gdb,ChopperCommand-v0
N/A,2016-05-01 08:26:16.617618,https://gym.openai.com/evaluations/eval_oIcLrf3WRhqqpfcEqClg,gdisneyleugers,ChopperCommand-v0
N/A,2016-05-01 07:45:33.339287,https://gym.openai.com/evaluations/eval_04TX9QIRUCvfw8naEKzw,gdisneyleugers,ChopperCommand-v0
5607.30 ± 264.37,2016-08-22 21:44:43.999571,https://gym.openai.com/evaluations/eval_UXFVI34MSAuNTtjZcK8N0A,ppwwyyxx,Pooyan-v0
467.85 ± 26.29,2016-04-24 22:37:09.385524,https://gym.openai.com/evaluations/eval_MLhD7ZaaQhCrETgpM9mV1w,gdb,Pooyan-v0
184.42 ± 157.49,2016-04-24 22:38:33.394167,https://gym.openai.com/evaluations/eval_ss1FI7XdQWyzEaK0qMhjlw,gdb,PrivateEye-v0
N/A,2016-05-01 07:59:51.556540,https://gym.openai.com/evaluations/eval_zCagLqPESTio0SsOfCIkiA,gdisneyleugers,PrivateEye-v0
0.0,2017-04-08 21:13:35.669963,https://gym.openai.com/evaluations/eval_9TCvBbNzROiKEDq824SSQ,deltameter,LunarLanderContinuous-v2
0.0,2016-10-14 01:30:03.491002,https://gym.openai.com/evaluations/eval_vaydV1hKSXqfnmvl8zaQfQ,stefanopalmieri,LunarLanderContinuous-v2
589.0,2016-09-26 16:30:54.188475,https://gym.openai.com/evaluations/eval_4q3c8yTIR9OWlAQg7jYQ,MadcowD,LunarLanderContinuous-v2
778.0,2016-09-26 16:21:51.242612,https://gym.openai.com/evaluations/eval_xTOLtQuSSDKn65TiU95dsg,MadcowD,LunarLanderContinuous-v2
-407.00 ± 59.76,2016-08-17 20:34:18.597036,https://gym.openai.com/evaluations/eval_S9nQuXLRSu7S5x21Ay6AA,ppwwyyxx,JourneyEscape-v0
-18571.00 ± 881.78,2016-04-24 22:37:59.958446,https://gym.openai.com/evaluations/eval_y2Gi1QlTkqtK3bxSvVOMw,gdb,JourneyEscape-v0
N/A,2017-08-04 02:01:25.038586,https://gym.openai.com/evaluations/eval_jFN9J71sS3OKaY46Nm5ibA,koltafrickenfer,BipedalWalker-v2
N/A,2017-06-29 19:40:36.780163,https://gym.openai.com/evaluations/eval_56BCOjJSfecpMf1apOi5w,alirezamika,BipedalWalker-v2
N/A,2017-04-15 16:45:47.597788,https://gym.openai.com/evaluations/eval_QjN2JTCQRFu7rNgm0iGy4A,404akhan,BipedalWalker-v2
N/A,2016-12-22 16:45:21.694717,https://gym.openai.com/evaluations/eval_wzmU0dtQCeoz2dWyhsD5Q,ryogrid,BipedalWalker-v2
N/A,2016-12-22 02:29:11.712512,https://gym.openai.com/evaluations/eval_ujFWHmoqSniDh8cErKCVpA,DollarAkshay,BipedalWalker-v2
N/A,2016-10-26 22:43:07.082148,https://gym.openai.com/evaluations/eval_a0YXWDc4SKeJjyTH7IrHBg,stefanopalmieri,BipedalWalker-v2
N/A,2016-10-10 22:50:27.997569,https://gym.openai.com/evaluations/eval_8CvXwBzWSneSBzCmR9z5RQ,stefanopalmieri,BipedalWalker-v2
54203.50 ± 1509.85,2017-07-11 20:59:13.521120,https://gym.openai.com/evaluations/eval_uxYSMnhuTpCNLoPZ7DkxKQ,dgriff777,Seaquest-v0
51340.40 ± 1493.41,2017-07-10 08:56:54.447116,https://gym.openai.com/evaluations/eval_ub7LjrSwCHaaJQ6N0fg,dgriff777,Seaquest-v0
50209.00 ± 2440.07,2017-05-28 06:27:38.441387,https://gym.openai.com/evaluations/eval_pjjgc9POQJK4IuVw8nXlBw,ppwwyyxx,Seaquest-v0
21845.40 ± 832.90,2016-08-13 00:13:44.796889,https://gym.openai.com/evaluations/eval_N2624y3NSJWrOgoMSpOi4w,ppwwyyxx,Seaquest-v0
8999.20 ± 438.56,2016-11-11 07:57:54.999860,https://gym.openai.com/evaluations/eval_GSS8XMQSTifRZ1QJe7Epg,steveKapturowski,Seaquest-v0
170.80 ± 6.01,2017-04-06 17:27:52.608429,https://gym.openai.com/evaluations/eval_dFIvwxt8Q7axVa84hONzQ,1nadequacy,Seaquest-v0
92.60 ± 7.96,2016-04-24 22:37:17.423885,https://gym.openai.com/evaluations/eval_UxCl1dThSFeGlxnSimWIOQ,gdb,Seaquest-v0
41299.00 ± 1049.95,2017-01-07 17:26:58.124956,https://gym.openai.com/evaluations/eval_LimXjzAGTdyCdbJ8i9UXg,steveKapturowski,KungFuMaster-v0
34767.00 ± 836.92,2016-08-22 21:12:24.019298,https://gym.openai.com/evaluations/eval_vNWDShYTRC0MhfIybeUYg,ppwwyyxx,KungFuMaster-v0
22814.00 ± 653.39,2017-02-23 00:15:20.444524,https://gym.openai.com/evaluations/eval_ZxE74rHVSHmJAM6Wx5oiWw,justheuristic,KungFuMaster-v0
9095.00 ± 312.20,2016-05-27 12:24:32.639817,https://gym.openai.com/evaluations/eval_HynxPgkQTJiIIcl3nP19Q,Regenerator,KungFuMaster-v0
8745.00 ± 276.33,2016-05-28 05:47:57.478181,https://gym.openai.com/evaluations/eval_U0uHmrtKSTTgjO2yMg7yg,justheuristic,KungFuMaster-v0
7424.00 ± 239.47,2016-05-02 16:11:58.768934,https://gym.openai.com/evaluations/eval_pJ5fJr3aRgy3FoEmF1Tyiw,justheuristic,KungFuMaster-v0
715.00 ± 48.95,2016-04-24 22:37:08.304064,https://gym.openai.com/evaluations/eval_ScAihbx6Tm6724IxDufeg,gdb,KungFuMaster-v0
85.00 ± 12.71,2016-05-05 08:34:50.355792,https://gym.openai.com/evaluations/eval_yUrYyTujRqyhtb6sq8ZGFw,ztianjin,KungFuMaster-v0
0.00 ± 0.00,2016-05-05 08:16:46.251340,https://gym.openai.com/evaluations/eval_L3MG7B7ZQ8CDunUGmP3cw,ztianjin,KungFuMaster-v0
N/A,2016-05-27 11:26:47.796102,https://gym.openai.com/evaluations/eval_xfwaZFZLQVS3DQsx6RhKyQ,Regenerator,KungFuMaster-v0
N/A,2016-05-27 11:18:14.947115,https://gym.openai.com/evaluations/eval_xNsP9oW1Tr6EQu8oV7w5OA,Regenerator,KungFuMaster-v0
N/A,2016-05-05 07:56:35.079864,https://gym.openai.com/evaluations/eval_CjVfLyJxSNGD3jXddH0NRw,ztianjin,KungFuMaster-v0
N/A,2016-05-05 07:56:23.651465,https://gym.openai.com/evaluations/eval_kwaC0aLOS4iiM9JmznzSBQ,ztianjin,KungFuMaster-v0
N/A,2016-05-05 07:56:20.273785,https://gym.openai.com/evaluations/eval_VJNSOKOQRmOgeEu76ZCsgw,ztianjin,KungFuMaster-v0
N/A,2016-05-05 07:56:15.364397,https://gym.openai.com/evaluations/eval_wEqikzrHR8KzoFSAxoLFnw,ztianjin,KungFuMaster-v0
200.00 ± 0.00,2016-11-11 01:58:10.449900,https://gym.openai.com/evaluations/eval_upxhWwI0RPCFx4qCiHcGAg,rmoehn,OffSwitchCartpole-v0
19.42 ± 0.53,2016-08-22 19:00:44.373771,https://gym.openai.com/evaluations/eval_8oWCTwwGS7OUTTGRwBPQkQ,ppwwyyxx,IceHockey-v0
-9.55 ± 0.37,2016-04-24 22:37:18.647887,https://gym.openai.com/evaluations/eval_PCUChENBR3iQJch1DRF9ww,gdb,IceHockey-v0
2288.90 ± 194.53,2016-08-23 23:40:57.703270,https://gym.openai.com/evaluations/eval_Yri0XQbwRy62NzWILdn5IA,ppwwyyxx,Berzerk-v0
196.10 ± 13.61,2016-04-27 21:50:50.416289,https://gym.openai.com/evaluations/eval_OA72qNjSWa5YitnpD4kwQ,gdb,Berzerk-v0
33.50 ± 3.43,2016-04-30 02:54:34.250560,https://gym.openai.com/evaluations/eval_piLz3kd2T8yNS9FXkrOmgg,rickhenderson,Berzerk-v0
N/A,2016-05-01 07:12:03.556968,https://gym.openai.com/evaluations/eval_2ixdWBDpS7ed7VLa0cvkQQ,gdisneyleugers,Berzerk-v0
3583.00 ± 4.17,2017-06-06 19:15:53.257346,https://gym.openai.com/evaluations/eval_5AjWk3qrRJurmHo33YS5w,steveKapturowski,MontezumaRevenge-v0
2500.00 ± 0.00,2017-03-08 16:06:59.578849,https://gym.openai.com/evaluations/eval_zxZ4J4nTRw2snOY7umcfqw,pkumusic,MontezumaRevenge-v0
2451.00 ± 38.12,2017-05-18 11:09:44.826399,https://gym.openai.com/evaluations/eval_sxADuny0SHS7XWcnxAHBlw,NoListen,MontezumaRevenge-v0
2440.00 ± 37.91,2017-04-13 00:26:51.474070,https://gym.openai.com/evaluations/eval_ER8ZmuuJS5K2CAxlN0IB2w,pkumusic,MontezumaRevenge-v0
1949.00 ± 100.71,2017-05-09 05:37:57.206746,https://gym.openai.com/evaluations/eval_oBgyXpp3QTuZyC1mCC8rQ,NoListen,MontezumaRevenge-v0
1631.00 ± 165.94,2017-06-04 21:34:28.661998,https://gym.openai.com/evaluations/eval_OcybxurMQNydtRjNxLEg,steveKapturowski,MontezumaRevenge-v0
1284.00 ± 36.91,2016-10-21 13:26:46.503529,https://gym.openai.com/evaluations/eval_e6uQIveRRVZHz5C2RSlPg,Itsukara,MontezumaRevenge-v0
1127.00 ± 53.19,2016-10-14 13:50:08.817535,https://gym.openai.com/evaluations/eval_mMQJe1nsS7OA3U72AvvJEQ,Itsukara,MontezumaRevenge-v0
760.00 ± 53.33,2017-05-26 04:59:42.868818,https://gym.openai.com/evaluations/eval_IvogBvmfT0ziSzNgeOGg,steveKapturowski,MontezumaRevenge-v0
448.00 ± 27.60,2016-10-13 15:10:00.436364,https://gym.openai.com/evaluations/eval_irmpzSknRMAjzv2yhseNA,Itsukara,MontezumaRevenge-v0
129.00 ± 30.20,2017-04-13 00:21:03.508751,https://gym.openai.com/evaluations/eval_Ib2hjIrLRS6AszgyuKoVcw,pkumusic,MontezumaRevenge-v0
0.00 ± 0.00,2016-04-24 22:38:27.541505,https://gym.openai.com/evaluations/eval_U34SmIDtQtqsRGrGKZqUBQ,gdb,MontezumaRevenge-v0
32894.00 ± 842.17,2016-08-23 01:16:42.825537,https://gym.openai.com/evaluations/eval_TIQ102EwTrHrOyve2RGfg,ppwwyyxx,Zaxxon-v0
20207.00 ± 598.98,2016-10-24 00:43:56.667347,https://gym.openai.com/evaluations/eval_DOCmbfskQ9i3qo5RpA11XQ,steveKapturowski,Zaxxon-v0
46.00 ± 25.26,2016-04-24 22:37:31.979298,https://gym.openai.com/evaluations/eval_ctPyyxmiTXO1VKrZ07258g,gdb,Zaxxon-v0
-3733.15 ± 6.85,2017-01-29 13:42:21.835370,https://gym.openai.com/evaluations/eval_MQrSRG5CQNmwe64VdFn0Fg,g00dgame,Skiing-v0
-5066.09 ± 579.11,2017-01-18 13:49:26.067306,https://gym.openai.com/evaluations/eval_BSWA660qSIaVAsigWXhiBA,justheuristic,Skiing-v0
-9013.00 ± 0.00,2017-01-26 19:49:41.846132,https://gym.openai.com/evaluations/eval_rMuXWTLtQ2mFDqHNJO8LA,Lextal,Skiing-v0
N/A,2017-01-26 18:04:01.805100,https://gym.openai.com/evaluations/eval_LtSfIuTNSB2Noi458A,LIKANblk,Skiing-v0
1247.0,2016-10-17 20:26:37.940332,https://gym.openai.com/evaluations/eval_vSCpQ9NGQsSD6tBqMS4wsw,colinmorris,Reverse-v0
31826.0,2016-04-25 22:58:32.582449,https://gym.openai.com/evaluations/eval_zUwRJJTGR9mv26OIQvhKYg,wojzaremba,Reverse-v0
N/A,2016-05-17 21:15:46.894770,https://gym.openai.com/evaluations/eval_shZ0KlouS6u0fdrawpRcVQ,blole,Reverse-v0
N/A,2016-05-01 07:15:44.938780,https://gym.openai.com/evaluations/eval_bKB2p9SwSriIbZgLyQEpFw,gdisneyleugers,Reverse-v0
N/A,2016-04-24 22:38:29.759564,https://gym.openai.com/evaluations/eval_tM0LDA1GT9ObfaKUjlRRWw,gdb,Reverse-v0
8267.70 ± 101.47,2017-07-31 11:41:08.001248,https://gym.openai.com/evaluations/eval_AZ0K1ERjTDiuVoc1T8RX6A,pat-coady,Humanoid-v1
6482.52 ± 152.11,2016-05-03 06:02:47.679629,https://gym.openai.com/evaluations/eval_i3x1JpReRukTZrznxypCw,joschu,Humanoid-v1
618.54 ± 15.16,2016-05-03 04:43:40.326272,https://gym.openai.com/evaluations/eval_CIcVkjUQAKaPWvzIrCfkw,joschu,Humanoid-v1
-168.28 ± 12.21,2017-05-19 23:50:03.462591,https://gym.openai.com/evaluations/eval_Ui8P9LYSFKuv5gUuVb8fw,Anjum48,SemisuperPendulumRandom-v0
-209.14 ± 15.40,2016-06-18 12:14:29.609922,https://gym.openai.com/evaluations/eval_MPPB2TWURVGnPiCV0jK6pA,RafaelCosman,SemisuperPendulumRandom-v0
-238.85 ± 15.08,2016-06-18 12:45:46.286167,https://gym.openai.com/evaluations/eval_X7PIT7CBRKC2DBYqLWliAw,RafaelCosman,SemisuperPendulumRandom-v0
-245.81 ± 29.88,2016-06-18 02:34:41.273670,https://gym.openai.com/evaluations/eval_4snnRTTuTF6B3sFY4K93MA,RafaelCosman,SemisuperPendulumRandom-v0
